month,Lower Hutt,Petone,Wainuiomata,Upper Hutt,Porirua,Wellington High (Moa),Wellington High (Western),Wellington Low Level,North Wellington (Moa),North Wellington (Porirua)
1,1.1314196997147368,1.0882330125900395,1.1139712119244582,1.1807692960555964,1.1738977251983134,1.071212524922878,1.0909020819674533,1.080511056353693,1.107725529796924,1.0943817482402525
2,1.1714694195016495,1.140936938253897,1.1452954539306244,1.2544280843207742,1.2173283548207996,1.1812627751750713,1.1736736668674497,1.1384408294260309,1.1717313814556491,1.1368046138777004
3,1.0621922647791822,1.0700071998548055,1.0684620439803105,1.195077761434963,1.13878494758492,1.146930903457852,1.1384030002117975,1.0966417238466155,1.0738508966623115,1.075207777130657
4,0.9046658879248752,0.9094838572303033,0.9433487138441191,0.9944368918195658,0.9310772892447935,0.9787916781433497,0.9740902794267379,0.9411398614144141,0.9607202887775844,0.9633257047946567
5,0.9411228150176402,0.9280018316724808,0.949168611017818,0.996829864312482,0.9550648209626028,0.9828866081352807,0.9832299800082999,0.9515063273556649,0.969591808377173,0.9610147510091033
6,0.9368943146666179,0.9493946486795628,0.9395815500359338,0.968111082353635,0.9272754040893417,0.9759238269405583,0.9791507429093249,0.97235902654679,0.9655659355594616,0.9481368884915917
7,0.9432446478951729,0.9761519475966324,0.9476368135034602,0.9169026391398251,0.9219540551763347,0.9770208278167134,0.966338506201944,0.9750755891627184,0.9532893737708774,0.9553158477025306
8,0.934263859545489,0.9625835178801432,0.9381514460120266,0.8664510191478257,0.9099736145995607,0.9161008020898054,0.9250920387755502,0.9503817182832548,0.9183339121891202,0.9448049871943364
9,0.9762088444196756,0.961758445392258,0.9635957574347269,0.869939722853562,0.9191345235758328,0.9166458533945093,0.9209249798770754,0.9482498710178859,0.9556224123315002,0.9560337839896029
10,0.9813519014460633,0.98223805896493,0.9787620549156585,0.8880328665459563,0.9240665642494476,0.9340139196593192,0.9356497868506523,0.9590437188125791,0.9816478546467868,0.9752444473056038
11,1.0651928263724313,1.0953543822230503,1.0511022326200505,1.028731620399316,1.0621106638417335,1.0728701509120866,1.0634614785854428,1.074404496244775,1.038575282025555,1.0552524968819823
12,1.0517382311634837,1.0149172089007925,1.0579656193477953,1.0474311194614474,1.0787794824662187,0.9791453405890229,0.9779197266245236,1.0042351010219577,1.0130023136487307,1.0293944547840104
